letter,english,fran̤ais,italiano,deutsch
a,7.866666666666667,8.566666666666666,11.699999999999998,5.966666666666666
b,1.4666666666666668,1.1666666666666667,1.4000000000000001,1.8666666666666665
c,2.3333333333333335,2.9,4.8,3.3666666666666667
d,4.733333333333333,3.6,3.966666666666667,5.066666666666666
e,12.700000000000001,14.933333333333332,11.266666666666666,17.233333333333334
f,1.9666666666666668,1.2333333333333332,1.2333333333333334,1.7
g,2.1999999999999997,1.2666666666666668,1.8999999999999997,2.8333333333333335
h,6.8,1.3,1.5666666666666664,5.366666666666666
i,6.5,7.3,10.6,7.966666666666666
j,0.16666666666666666,0.6,0.03333333333333333,0.3333333333333333
k,1.0666666666666667,0.10000000000000002,0.06666666666666667,1.3333333333333333
l,4.166666666666667,5.633333333333334,6.466666666666666,4.0
m,2.1333333333333333,3.0,2.9333333333333336,2.8000000000000003
n,6.466666666666666,7.033333333333334,6.666666666666667,10.533333333333333
o,7.766666666666667,5.666666666666667,8.866666666666667,2.5
p,1.5666666666666664,3.1333333333333333,2.766666666666667,0.6333333333333333
q,0.13333333333333333,1.1,0.5666666666666667,0.0
r,5.666666666666667,6.833333333333333,6.333333333333333,6.866666666666667
s,5.866666666666667,7.8,4.733333333333333,6.266666666666667
t,9.6,7.6000000000000005,5.933333333333333,5.866666666666667
u,2.866666666666667,6.366666666666667,3.3333333333333335,3.733333333333333
v,0.7666666666666666,1.7333333333333334,1.8999999999999997,0.6333333333333333
w,2.733333333333333,0.16666666666666666,0.10000000000000002,1.9333333333333336
x,0.10000000000000002,0.39999999999999997,0.03333333333333333,0.0
y,2.3000000000000003,0.4000000000000001,0.13333333333333333,0.10000000000000002
z,0.10000000000000002,0.16666666666666666,0.7666666666666666,1.0666666666666667
